feature,corr,abs_corr,n_valid,t_stat
15min_sm_dir,-0.0899,0.0899,463,-1.94
1h_sm_aligned,-0.0853,0.0853,463,-1.84
5min_sm_slope,0.0824,0.0824,463,1.78
1h_close_vs_ema,0.0702,0.0702,463,1.51
5min_sm_aligned,0.0672,0.0672,463,1.45
1h_atr,0.0643,0.0643,463,1.38
5min_sm_dir,0.0622,0.0622,463,1.34
30min_atr,0.0611,0.0611,463,1.31
5min_rsi_ob,-0.0602,0.0602,463,-1.29
vol_regime,0.0595,0.0595,435,1.24
15min_rsi_os,0.058,0.058,463,1.25
30min_close_vs_ema,0.0572,0.0572,463,1.23
5min_atr,0.0547,0.0547,463,1.18
4h_atr,0.0547,0.0547,461,1.17
15min_atr,0.0538,0.0538,463,1.16
4h_sm,0.0521,0.0521,463,1.12
1h_rsi_ob,0.0501,0.0501,463,1.08
sm_1m_abs,-0.0498,0.0498,463,-1.07
15min_sm_aligned,-0.0486,0.0486,463,-1.05
sm_1m,0.0469,0.0469,463,1.01
30min_sm_dir,-0.0457,0.0457,463,-0.98
15min_rsi_ob,-0.045,0.045,463,-0.97
5min_sm,0.0433,0.0433,463,0.93
session_or_high,0.0426,0.0426,371,0.82
session_or_low,0.0422,0.0422,371,0.81
dow,0.0396,0.0396,463,0.85
1h_rsi,0.0396,0.0396,463,0.85
4h_sm_dir,0.0395,0.0395,463,0.85
4h_rsi_ob,-0.0392,0.0392,463,-0.84
1h_sm_slope,0.0392,0.0392,463,0.84
15min_sm,-0.0388,0.0388,463,-0.83
4h_rsi_os,0.0381,0.0381,463,0.82
30min_rsi,0.0375,0.0375,463,0.8
4h_close_vs_ema,-0.0369,0.0369,463,-0.79
30min_sm_aligned,-0.0353,0.0353,463,-0.76
4h_sm_slope,-0.0342,0.0342,463,-0.73
5min_rsi_os,0.0284,0.0284,463,0.61
hour_et,0.0282,0.0282,463,0.61
30min_rsi_os,-0.0279,0.0279,463,-0.6
1h_rsi_os,-0.0247,0.0247,463,-0.53
30min_rsi_ob,0.0222,0.0222,463,0.48
1h_sm_dir,-0.0216,0.0216,463,-0.46
15min_sm_slope,0.0211,0.0211,463,0.45
dist_ib_low,-0.02,0.02,287,-0.34
5min_close_vs_ema,0.0197,0.0197,463,0.42
15min_rsi,-0.019,0.019,463,-0.41
4h_rsi,-0.0189,0.0189,463,-0.41
5min_rsi,-0.017,0.017,463,-0.37
1h_sm,-0.0158,0.0158,463,-0.34
prior_day_atr,0.0126,0.0126,444,0.26
dist_ib_high,-0.0117,0.0117,287,-0.2
session_ib_low,0.011,0.011,287,0.19
4h_sm_aligned,-0.0108,0.0108,463,-0.23
session_ib_high,0.0108,0.0108,287,0.18
30min_sm,-0.0076,0.0076,463,-0.16
30min_sm_slope,-0.0072,0.0072,463,-0.15
15min_close_vs_ema,0.0065,0.0065,463,0.14
4h_low,-0.0065,0.0065,463,-0.14
4h_close,-0.0047,0.0047,463,-0.1
1h_ema20,-0.0045,0.0045,463,-0.1
30min_ema20,-0.0045,0.0045,463,-0.1
15min_low,-0.0041,0.0041,463,-0.09
15min_ema20,-0.004,0.004,463,-0.09
15min_close,-0.0038,0.0038,463,-0.08
15min_high,-0.0036,0.0036,463,-0.08
dist_or_high,-0.0035,0.0035,371,-0.07
5min_high,-0.0035,0.0035,463,-0.07
1h_high,-0.0033,0.0033,463,-0.07
5min_ema20,-0.0032,0.0032,463,-0.07
1h_low,-0.0031,0.0031,463,-0.07
30min_high,-0.003,0.003,463,-0.07
5min_close,-0.0029,0.0029,463,-0.06
5min_low,-0.0028,0.0028,463,-0.06
4h_high,-0.0028,0.0028,463,-0.06
30min_low,-0.0027,0.0027,463,-0.06
dist_or_low,0.0023,0.0023,371,0.04
30min_close,-0.0023,0.0023,463,-0.05
4h_ema20,-0.0013,0.0013,463,-0.03
1h_close,-0.0009,0.0009,463,-0.02
