entry_idx,entry_time,side,entry_price,total_pts,leg1_pts,leg2_pts,leg1_exit,leg2_exit,tp2_hit,bars,sm_1m,sm_1m_abs,hour_et,dow,prior_day_atr,bars_to_tp1,5min_sm,5min_sm_dir,5min_sm_slope,5min_rsi,5min_atr,5min_ema20,5min_close,5min_high,5min_low,15min_sm,15min_sm_dir,15min_sm_slope,15min_rsi,15min_atr,15min_ema20,15min_close,15min_high,15min_low,30min_sm,30min_sm_dir,30min_sm_slope,30min_rsi,30min_atr,30min_ema20,30min_close,30min_high,30min_low,1h_sm,1h_sm_dir,1h_sm_slope,1h_rsi,1h_atr,1h_ema20,1h_close,1h_high,1h_low,4h_sm,4h_sm_dir,4h_sm_slope,4h_rsi,4h_atr,4h_ema20,4h_close,4h_high,4h_low,session_above_vwap,session_or_high,session_or_low,session_above_or,session_below_or,session_ib_high,session_ib_low,vol_regime,5min_sm_aligned,15min_sm_aligned,30min_sm_aligned,1h_sm_aligned,4h_sm_aligned,5min_close_vs_ema,15min_close_vs_ema,30min_close_vs_ema,1h_close_vs_ema,4h_close_vs_ema,5min_rsi_ob,5min_rsi_os,15min_rsi_ob,15min_rsi_os,30min_rsi_ob,30min_rsi_os,1h_rsi_ob,1h_rsi_os,4h_rsi_ob,4h_rsi_os,dist_or_high,dist_or_low,dist_ib_high,dist_ib_low
1026,2025-02-17 17:06:00,short,22228.75,-1.5,-0.75,-0.75,EOD,EOD,0.0,54,-0.20283017792993305,0.20283017792993305,12,0,,,-0.28832505215911697,-1.0,0.04543508816991104,33.15013575577524,8.266539795974715,22236.839137168758,22229.0,22237.0,22228.5,0.9187618869430462,1.0,0.013548056376004758,47.64733529072567,14.670983576976733,22238.983465323734,22235.5,22246.0,22233.0,0.7849787118669955,1.0,0.05787502086819507,46.5316924319511,19.590524933559863,22242.262522063807,22235.5,22252.25,22233.0,0.7986417974151545,1.0,0.06287236257973317,50.59044665697182,27.377154050395667,22240.999628718713,22235.5,22252.25,22231.5,0.0,0.0,0.0,50.0,,22257.589623150852,22237.75,22260.0,22192.0,False,22230.5,22201.25,False,False,22240.75,22201.25,,1.0,0.0,0.0,0.0,0.0,-0.03525292925132741,-0.01566377945811055,-0.030403930612270876,-0.024727434964801717,-0.08913644058841139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,27.5,-12.0,27.5
2216,2025-02-18 17:56:00,long,22194.25,-1.75,7.5,-9.25,TP1,BE,0.0,13,0.14940131659003691,0.14940131659003691,12,1,,6.0,-0.007153676121995578,-1.0,-0.03714273949227548,61.84024609701383,21.513266440950733,22186.893537041255,22200.5,22203.25,22182.75,-0.20545208682947025,-1.0,-0.04467033024246703,41.76881690967457,32.58711075983965,22212.933372947075,22186.25,22195.75,22171.25,0.302265004681797,1.0,0.03826797974492502,34.042542045007835,36.38438176335886,22235.45728487277,22173.5,22193.25,22156.75,0.15864684390348208,1.0,0.006366110933176017,30.457177957905643,41.76143185128698,22250.32902567262,22186.75,22215.75,22164.75,0.0,0.0,0.0,34.13112667091025,,22253.80523198769,22187.25,22318.25,22125.0,False,22207.25,22130.25,False,False,22207.25,22125.0,,0.0,0.0,1.0,1.0,0.0,0.06132657974866676,-0.12012539046091034,-0.2786418290345671,-0.2857442044981147,-0.29907349010148077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,64.0,-13.0,69.25
3421,2025-02-19 15:01:00,short,22168.75,44.25,17.75,26.5,TP1,TP2,1.0,5,-0.1239162948496865,0.1239162948496865,10,2,,2.0,0.0276149892584287,1.0,-0.019703679404028396,35.19474202508816,21.464146212252757,22196.31751100996,22167.75,22189.75,22158.75,0.1832858703975671,1.0,0.008283167260546953,23.136285534733858,24.45574955382355,22213.937340770306,22167.75,22195.25,22154.5,-0.2832242900253174,-1.0,0.03788674323815261,26.191226556532598,30.47407436519402,22225.727930894973,22167.75,22221.5,22154.5,0.013681062228510038,1.0,-0.008515789471182589,26.22793728380654,39.63041310185349,22233.402708471185,22167.75,22221.5,22154.5,0.22682030048491308,1.0,0.06846591095194343,43.017722887970095,69.98852040816327,22246.956183164784,22212.75,22275.75,22195.0,False,,,False,False,,,,0.0,0.0,1.0,0.0,0.0,-0.1287038311458106,-0.20792055033637008,-0.26085953663807937,-0.2952886219533582,-0.15375668870454098,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,
3466,2025-02-19 15:46:00,long,22185.25,7.5,10.5,-3.0,TP1,BE,0.0,9,0.1148977787551432,0.1148977787551432,10,2,,1.0,-0.002306143190974219,-1.0,-0.03258210396370159,61.78497054131777,24.26426715863656,22173.747208286513,22187.75,22190.0,22173.0,0.2854406330487178,1.0,0.010289965072468321,48.190859637384904,28.264224405885695,22199.63526836665,22187.75,22190.0,22149.0,-0.2925971127446181,-1.0,-0.009372822719300677,22.376738398920992,32.779497624823016,22218.420508904976,22149.0,22180.75,22118.0,0.013681062228510038,1.0,-0.008515789471182589,26.22793728380654,39.63041310185349,22233.402708471185,22167.75,22221.5,22154.5,0.22682030048491308,1.0,0.06846591095194343,43.017722887970095,69.98852040816327,22246.956183164784,22212.75,22275.75,22195.0,False,22180.75,22118.0,True,False,,,,0.0,1.0,0.0,1.0,1.0,0.06315031727363474,-0.053538124491550265,-0.3124457423836783,-0.2952886219533582,-0.15375668870454098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.5,67.25,,
4941,2025-02-20 17:21:00,long,22084.75,-0.25,9.25,-9.5,TP1,BE,0.0,28,0.034053056743251986,0.034053056743251986,12,3,,23.0,0.24623071270978025,1.0,-0.009972458930075756,62.49584912654355,31.096765572660043,22060.675562706634,22081.0,22086.0,22066.5,0.893611054836573,1.0,0.015449358256255374,47.10975862151813,47.570992831137964,22102.158205036823,22074.5,22083.5,22023.0,0.2711086015200472,1.0,0.07853751675703702,36.901819600267174,55.83464489725118,22131.892293417302,22031.0,22071.25,22016.25,0.037440391341147794,1.0,0.04714740178902535,29.766192821504433,60.47369954253037,22150.71903594705,22031.0,22076.5,21983.25,0.6203240102711107,1.0,0.04514605688896012,28.26634139757435,90.87275326590488,22201.302439895047,21989.25,22227.0,21950.75,False,22103.25,21950.75,False,False,22108.0,21950.75,,1.0,1.0,1.0,1.0,1.0,0.09212971395909647,-0.12513802851397726,-0.45586835540181475,-0.5404747166571285,-0.9551351343874124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-18.5,134.0,-23.25,134.0
6248,2025-02-21 16:08:00,short,21992.5,6.75,8.0,-1.25,TP1,BE,0.0,6,-0.007367672208627496,0.007367672208627496,11,4,,1.0,-0.08614031141194123,-1.0,-0.01372298980767217,37.18967031334675,37.901446407038925,22050.426513412225,21985.25,22021.25,21975.75,-0.48508902643278085,-1.0,0.06899636338041082,29.7019136890665,41.20591205007521,22120.793047437724,22006.25,22007.0,21940.75,-0.2849942343508809,-1.0,0.10443456561990139,17.007097831305558,42.68309289982968,22137.362125056407,22006.25,22020.5,21940.5,0.055577537534746785,1.0,0.01900880257519802,25.99637282244889,58.70816264655724,22139.69950912683,22006.25,22111.5,21940.5,0.7067464486159459,1.0,0.04098335083021476,34.71703368482386,102.20092507276,22162.624516285538,22006.25,22245.75,21940.5,False,22111.5,21992.25,False,False,22111.5,21940.5,,1.0,1.0,1.0,0.0,0.0,-0.29557937744461044,-0.5178071472938991,-0.5922662524818432,-0.6027611579453285,-0.705577609595066,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-119.0,0.25,-119.0,52.0
7686,2025-02-24 17:06:00,long,21613.75,39.75,10.25,29.5,TP1,TP2,1.0,14,0.03429958559698226,0.03429958559698226,12,0,,13.0,-0.17300886923185843,-1.0,-0.0403251132496196,61.6590593596096,39.107951813379806,21574.8023090485,21608.75,21610.75,21569.5,0.6330921323973796,1.0,-0.027918116270551963,41.1433737627567,56.31572574245217,21638.43238774785,21576.5,21624.75,21569.5,0.4280560515798573,1.0,0.1370437631976062,35.46542861383358,65.72785518292586,21687.51511841053,21576.5,21624.75,21553.25,-0.023008923169957396,-1.0,0.07415136560979621,32.915060765926256,77.65645360817744,21747.5444785752,21576.5,21624.75,21477.5,0.8243550680439266,1.0,0.02211677851951155,21.81265964642131,128.43780502822304,21927.80832289726,21492.0,21805.75,21436.75,False,21585.25,21436.75,True,False,21585.25,21436.75,,0.0,1.0,1.0,0.0,1.0,0.15734879265735832,-0.2862147619478969,-0.5118849153736842,-0.786500189682135,-1.9874686812278684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.5,177.0,28.5,177.0
7721,2025-02-24 17:41:00,long,21637.5,10.0,10.25,-0.25,TP1,BE,0.0,6,0.03440809339420317,0.03440809339420317,12,0,,1.0,-0.2823099121078465,-1.0,-0.005540902394799929,63.78470811886763,37.01527897172493,21599.869978971175,21638.25,21641.25,21613.5,0.4026213425578748,1.0,-0.16454094903304933,52.845668864494165,56.3870288289511,21633.543292464794,21627.75,21653.5,21591.25,0.5487640140324714,1.0,0.12070796245261411,44.781717849816495,67.03300838414545,21681.823202371434,21627.75,21653.5,21569.5,-0.023008923169957396,-1.0,0.07415136560979621,32.915060765926256,77.65645360817744,21747.5444785752,21576.5,21624.75,21477.5,0.8243550680439266,1.0,0.02211677851951155,21.81265964642131,128.43780502822304,21927.80832289726,21492.0,21805.75,21436.75,True,21585.25,21436.75,True,False,21585.25,21436.75,,0.0,1.0,1.0,0.0,1.0,0.1776863521224429,-0.026779212200582003,-0.24939416702521294,-0.786500189682135,-1.9874686812278684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.25,200.75,52.25,200.75
9001,2025-02-25 16:01:00,short,21087.5,40.75,15.5,25.25,TP1,TP2,1.0,3,-0.048135834007817735,0.048135834007817735,11,1,,2.0,0.4055159406490936,1.0,-0.05065928954658239,38.78093202303485,52.11129086787486,21183.16386306036,21105.0,21155.0,21097.25,-0.2778004364289127,-1.0,0.06046785638027585,24.869662512824988,63.19519332441033,21279.596821979765,21105.0,21160.0,21068.0,-0.19404815723353774,-1.0,0.01581271752222202,27.712056433586326,78.30643392528215,21325.679900382984,21105.0,21160.0,21037.5,0.24788090415541444,1.0,0.009660434250330141,21.202613810694544,91.65803553851063,21394.679542223817,21105.0,21264.0,21028.0,0.48970571698892573,1.0,-0.09401612561647399,20.310261358055556,152.42462350939982,21662.45232364344,21105.0,21451.75,21028.0,False,21264.0,21028.0,False,False,21264.0,21028.0,,0.0,1.0,1.0,0.0,0.0,-0.36899050380601106,-0.8204893327650995,-1.0348082753461032,-1.353979346370277,-2.573357417317935,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-176.5,59.5,-176.5,59.5
9087,2025-02-25 17:27:00,long,21153.25,35.25,9.5,25.75,TP1,TP2,1.0,2,0.014875897365638407,0.014875897365638407,12,1,,1.0,-0.03775365053159788,-1.0,-0.021414197940063884,61.103588832793925,45.25797046217987,21130.71025778253,21151.5,21157.75,21110.0,-0.15669292922253084,-1.0,0.00974558436087064,44.518040608411646,68.5320637699327,21210.86290674674,21149.25,21178.75,21138.25,-0.2184412373450355,-1.0,-0.04087128942646712,41.42604569833857,87.88922108863615,21286.15520190081,21170.5,21203.25,20990.5,0.2685339294458451,1.0,0.020653025290430643,31.47779640522748,100.30746157147416,21373.329109631075,21170.5,21203.25,20990.5,0.48970571698892573,1.0,-0.09401612561647399,20.310261358055556,152.42462350939982,21662.45232364344,21105.0,21451.75,21028.0,False,21264.0,21028.0,False,False,21264.0,21028.0,,0.0,0.0,0.0,1.0,1.0,0.09838638627781737,-0.290478077283424,-0.5433353313635562,-0.9489822974731521,-2.573357417317935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-110.75,125.25,-110.75,125.25
