trade_num,trade_date,day_of_week,side,entry_time,exit_time,entry_price,exit_price,pts,pnl_dollar,cumulative_pnl,exit_reason,bars_held,mfe_pts,mae_pts,strategy,win,vix_open,vix_high,vix_low,vix_close,vix_pdh,vix_pdl,vix_prev_close,vix_pct_change,es_open,es_high,es_low,es_close,es_prev_close,es_pct_change,vix_regime,vix_intraday,pct_regime,vix_intraday_dir,vix_dod_dir,vix_momentum,vix_q,vix_combo
2,2025-02-18,Tuesday,long,2025-02-18 17:56:00+00:00,2025-02-18T18:02:00+00:00,22194.25,22201.75,7.5,13.96,11.42,TP,6,11.0,3.75,MNQ_V15,True,15.569999694824219,16.030000686645508,15.350000381469727,15.350000381469727,,,,,6138.25,6157.75,6118.25,6146.75,,,unknown,unknown,unknown,VIX down intraday,VIX unchanged,unknown,Low VIX,VIX down + Low VIX
3,2025-02-18,Tuesday,short,2025-02-18 18:22:00+00:00,2025-02-18T18:31:00+00:00,22162.0,22151.75,10.25,19.46,30.88,TP,9,13.0,12.75,MNQ_V15,True,15.569999694824219,16.030000686645508,15.350000381469727,15.350000381469727,,,,,6138.25,6157.75,6118.25,6146.75,,,unknown,unknown,unknown,VIX down intraday,VIX unchanged,unknown,Low VIX,VIX down + Low VIX
4,2025-02-19,Wednesday,short,2025-02-19 15:01:00+00:00,2025-02-19T15:02:00+00:00,22168.75,22162.5,6.25,11.46,42.34,TP,1,21.75,12.0,MNQ_V15,True,15.140000343322754,15.960000038146973,15.050000190734863,15.270000457763672,16.030000686645508,15.350000381469727,15.350000381469727,-0.5211721284556381,6143.75,6166.5,6129.25,6163.0,6146.75,0.2643673485988485,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Low VIX,VIX up + Low VIX
5,2025-02-19,Wednesday,long,2025-02-19 15:46:00+00:00,2025-02-19T15:47:00+00:00,22185.25,22195.75,10.5,19.96,62.3,TP,1,20.75,1.75,MNQ_V15,True,15.140000343322754,15.960000038146973,15.050000190734863,15.270000457763672,16.030000686645508,15.350000381469727,15.350000381469727,-0.5211721284556381,6143.75,6166.5,6129.25,6163.0,6146.75,0.2643673485988485,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Low VIX,VIX up + Low VIX
6,2025-02-19,Wednesday,short,2025-02-19 18:16:00+00:00,2025-02-19T19:15:00+00:00,22218.0,22270.0,-52.0,-105.04,-42.74,SL,59,1.5,62.25,MNQ_V15,False,15.140000343322754,15.960000038146973,15.050000190734863,15.270000457763672,16.030000686645508,15.350000381469727,15.350000381469727,-0.5211721284556381,6143.75,6166.5,6129.25,6163.0,6146.75,0.2643673485988485,VIX < PDL (bullish),VIX touched PDL (bullish),Small moves (<1%),VIX up intraday,VIX falling (close<prev),VIX drifting down (0-5%),Low VIX,VIX up + Low VIX
7,2025-02-20,Thursday,long,2025-02-20 17:21:00+00:00,2025-02-20T17:37:00+00:00,22084.75,22091.5,6.75,12.46,-30.28,TP,16,9.25,14.0,MNQ_V15,True,15.609999656677246,16.6299991607666,15.119999885559082,15.65999984741211,15.960000038146973,15.050000190734863,15.270000457763672,2.5540234312838583,6153.75,6159.5,6102.75,6136.5,6163.0,-0.42998539672237657,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Low VIX,VIX up + Low VIX
8,2025-02-20,Thursday,short,2025-02-20 19:41:00+00:00,2025-02-20T19:50:00+00:00,22062.0,22114.5,-52.5,-106.04,-136.32,SL,9,7.0,65.5,MNQ_V15,False,15.609999656677246,16.6299991607666,15.119999885559082,15.65999984741211,15.960000038146973,15.050000190734863,15.270000457763672,2.5540234312838583,6153.75,6159.5,6102.75,6136.5,6163.0,-0.42998539672237657,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Low VIX,VIX up + Low VIX
9,2025-02-21,Friday,short,2025-02-21 16:08:00+00:00,2025-02-21T16:09:00+00:00,21992.5,21984.5,8.0,14.96,-121.36,TP,1,20.5,2.5,MNQ_V15,True,15.630000114440918,19.030000686645508,15.279999732971191,18.209999084472656,16.6299991607666,15.119999885559082,15.65999984741211,16.28352019097845,6132.5,6142.5,6024.5,6029.0,6136.5,-1.7518129226757884,VIX > PDH (bearish),VIX touched PDH (bearish),"Normal bear (ES-, VIX+)",VIX up intraday,VIX rising (close>prev),VIX surging (>+5%),Mid VIX,VIX up + Mid VIX
10,2025-02-24,Monday,long,2025-02-24 17:06:00+00:00,2025-02-24T17:19:00+00:00,21613.75,21624.0,10.25,19.46,-101.9,TP,13,30.25,37.0,MNQ_V15,True,18.079999923706055,20.239999771118164,17.309999465942383,18.979999542236328,19.030000686645508,15.279999732971191,18.209999084472656,4.228448635234905,6040.75,6067.5,5994.5,6000.75,6029.0,-0.4685685851716692,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
11,2025-02-24,Monday,long,2025-02-24 17:41:00+00:00,2025-02-24T17:42:00+00:00,21637.5,21647.75,10.25,19.46,-82.44,TP,1,15.25,0.0,MNQ_V15,True,18.079999923706055,20.239999771118164,17.309999465942383,18.979999542236328,19.030000686645508,15.279999732971191,18.209999084472656,4.228448635234905,6040.75,6067.5,5994.5,6000.75,6029.0,-0.4685685851716692,VIX neutral,VIX touched PDH (bearish),Small moves (<1%),VIX up intraday,VIX rising (close>prev),VIX drifting up (0-5%),Mid VIX,VIX up + Mid VIX
